[12, 50;
]
[13, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
10, 0;
11, 0;
10, 0;
11, 0;
10, 0;
11, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
11, 0;
10, 0;
11, 0;
11, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
10, 0;
10, 0;
11, 0;
11, 0;
10, 0;
10, 0;
11, 0;
10, 0;
11, 0;
11, 0;
11, 0;
10, 0;
10, 0;
10, 0;
11, 0;
11, 0;
11, 0;
10, 0;
13, 0;
11, 0;
10, 0;
10, 0;
9, 0;
10, 0;
11, 0;
19, 0;
19, 0;
19, 0;
20, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
20, 0;
20, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
18, 0;
20, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
20, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
]
[19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
20, 0;
19, 0;
20, 0;
20, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
19, 0;
20, 0;
19, 0;
21, 0;
20, 0;
19, 0;
19, 0;
20, 0;
19, 0;
19, 0;
19, 0;
19, 0;
